injection,url
CJ173-FB,http://www.marmosetbrain.org/goto/CJ173/r18a/7.702094/4.886788/3
CJ173-CTBgr,http://www.marmosetbrain.org/goto/CJ173/r22d/7.52438/3.988488/3
CJ173-CTBr,http://www.marmosetbrain.org/goto/CJ173/r19d/4.137686/3.757989/3
CJ173-DY,http://www.marmosetbrain.org/goto/CJ173/r14c/3.589707/3.669079/3
CJ90-FR,http://www.marmosetbrain.org/goto/CJ90/c9a/14.136864/5.544404/3
CJ90-DY,http://www.marmosetbrain.org/goto/CJ90/c9a/15.08428/5.224179/3
CJ123-FR,http://www.marmosetbrain.org/goto/CJ123/r21a/18.583762/6.876322/3
CJ123-FE,http://www.marmosetbrain.org/goto/CJ123/r17b/21.359099/9.448948/3
CJ64-FR,http://www.marmosetbrain.org/goto/CJ64/c23a/11.970563/8.255879/3
CJ64-FB,http://www.marmosetbrain.org/goto/CJ64/c14b/14.092947/10.394892/3
CJ64-FE,http://www.marmosetbrain.org/goto/CJ64/c29a/13.168666/10.118031/3
CJ180-CTBr,http://www.marmosetbrain.org/goto/CJ180/r16c/10.381451/14.059186/3
CJ180-FB,http://www.marmosetbrain.org/goto/CJ180/r13b/10.562758/10.453084/3
CJ180-DY,http://www.marmosetbrain.org/goto/CJ180/r20a/10.864528/13.401708/3
CJ180-CTBgr,http://www.marmosetbrain.org/goto/CJ180/r17d/9.202725/9.285306/3
CJ114-FR,http://www.marmosetbrain.org/goto/CJ114/r25a/16.373246/5.655435/3
CJ114-FE,http://www.marmosetbrain.org/goto/CJ114/r25a/21.114705/8.37848/3
CJ115-FR,http://www.marmosetbrain.org/goto/CJ115/r20b/18.865335/10.327231/3
CJ115-FE,http://www.marmosetbrain.org/goto/CJ115/r19b/15.209588/9.484712/3
CJ181-CTBr,http://www.marmosetbrain.org/goto/CJ181/r3d/6.65257/10.07573/3
CJ181-FB,http://www.marmosetbrain.org/goto/CJ181/c14d/11.560492/12.317613/3
CJ181-CTBgr,http://www.marmosetbrain.org/goto/CJ181/c21c/9.430945/7.024004/3
CJ181-DY,http://www.marmosetbrain.org/goto/CJ181/r4c/8.394102/9.113052/3
CJ116-FR,http://www.marmosetbrain.org/goto/CJ116/r16a/16.741236/8.108722/3
CJ116-FE,http://www.marmosetbrain.org/goto/CJ116/r18a/19.345474/9.935303/3
CJ146-FB,http://www.marmosetbrain.org/goto/CJ146/r45a/13.261628/3.476172/3
CJ800-CTBr,http://www.marmosetbrain.org/goto/CJ800/r12a/15.036162/8.871598/3
CJ800-FB,http://www.marmosetbrain.org/goto/CJ800/r9b/17.35913/9.211741/3
CJ800-DY,http://www.marmosetbrain.org/goto/CJ800/r8a/14.5531/9.235386/3
CJ800-CTBgr,http://www.marmosetbrain.org/goto/CJ800/r16a/18.470887/10.823795/3
CJ146L-FR,http://www.marmosetbrain.org/goto/CJ146L/r49a/13.967008/5.168588/3
CJ146L-DY,http://www.marmosetbrain.org/goto/CJ146L/r41a/14.375558/3.9987/3
