area_id,centroid_x,centroid_y,centroid_z,coord_x,coord_y,coord_z
1,200,287,91,-6.42222234606743,7.05592971667647,15.2567046247423
2,141,50,157,-3.53777794167399,18.7374613955617,12.0228517390788
3,144,98,188,-3.68444460630417,16.3715815618634,10.5039208382368
4,166,124,196,-4.76000014692545,15.0900633186102,10.1119386702776
5,136,128,206,-3.2933335006237,14.892906665802,9.62196096032858
6,111,143,229,-2.07111129537225,14.1535692177713,8.49501222744584
7,105,90,216,-1.7777779661119,16.7658948674798,9.13198325037956
8,87,139,238,-0.897777978330851,14.3507258705795,8.05403228849173
9,84,72,217,-0.751111313700676,17.6530998051167,9.08298547938466
10,207,482,102,-6.76444456353784,-2.55545710772276,14.7177291437984
11,93,455,113,-1.1911113075912,-1.22464970126748,14.1787536628544
12,99,442,161,-1.48444463685155,-0.583890579640865,11.8268606550992
13,82,356,113,-0.65333353728056,3.65497745573521,14.1787536628544
14,87,311,95,-0.897777978330851,5.87298979982734,15.0607135407627
15,83,277,79,-0.702222425490618,7.54882134869695,15.8446778766811
16,82,137,166,-0.65333353728056,14.4493041969836,11.5818718001246
17,86,177,131,-0.848889090120792,12.4777376689017,13.2967937849462
18,79,180,109,-0.506666872650385,12.3298701792955,14.374744746834
19,81,221,95,-0.604444649070501,10.3090144880116,15.0607135407627
20,85,139,210,-0.800000201910734,14.3507258705795,9.42596987634897
21,157,427,178,-4.32000015303493,0.155446868389845,10.9938985481858
22,109,319,129,-1.97333351895213,5.47867649421096,13.394789326936
23,97,379,127,-1.38666686043143,2.52132670208812,13.4927848689258
24,82,360,64,-0.65333353728056,3.45782080292702,16.5796444416046
25,90,110,163,-1.04444464296103,15.7801116034389,11.7288651131094
26,80,92,195,-0.555555760860443,16.6673165410757,10.1609364412725
27,208,306,383,-6.81333345174789,6.11943561583757,0.949355494230985
28,226,274,374,-7.69333343952894,7.69668883830309,1.3903354331851
29,207,222,123,-6.76444456353784,10.2597253248096,13.6887759529054
30,192,261,90,-6.03111124038696,8.3374479599297,15.3057023957372
31,228,129,173,-7.79111121594906,14.8436175026,11.2388874031603
32,129,75,136,-2.9511112831533,17.5052323155105,13.0518049299717
33,162,78,142,-4.56444459408522,17.3573648259044,12.7578183040023
34,192,82,164,-6.03111124038696,17.1602081730962,11.6798673421145
35,177,99,187,-5.29777791723609,16.3222923986614,10.5529186092317
36,211,151,220,-6.96000011637807,13.7592559121549,8.93599216639996
37,151,230,87,-4.02666682377458,9.86541201919317,15.4526957087219
38,202,200,148,-6.52000012248755,11.3440869152546,12.4638316780329
39,178,187,120,-5.34666680544615,11.9848460368812,13.8357692658901
40,150,161,110,-3.97777793556452,13.2663642801344,14.3257469758391
41,99,177,85,-1.48444463685155,12.4777376689017,15.5506912507117
42,222,171,160,-7.49777788668871,12.773472648114,11.8758584260941
43,252,162,192,-8.96444453299046,13.2170751169324,10.3079297542572
44,200,182,142,-6.42222234606743,12.2312918528914,12.7578183040023
45,147,116,126,-3.83111127093434,15.4843766242266,13.5417826399207
46,189,124,146,-5.88444457575679,15.0900633186102,12.5618272200227
47,89,118,115,-0.995555754750967,15.3857982978225,14.0807581208646
48,94,80,132,-1.24000019580126,17.2587864995003,13.2477960139513
50,217,231,257,-7.25333344563842,9.81612285599113,7.12307463958859
51,186,358,75,-5.73777791112661,3.55639912933111,16.0406689606607
52,136,224,370,-3.2933335006237,10.1611469984055,1.58632651716471
54,268,284,170,-9.74666674435139,7.20379720628262,11.385880716145
55,290,265,223,-10.8222222849727,8.14029130712152,8.78899885341525
56,272,315,165,-9.94222229719162,5.67583314701915,11.6308695711195
57,231,309,162,-7.93777788057923,5.97156812623143,11.7778628841043
58,289,274,246,-10.7733333967626,7.69668883830309,7.66205012053251
59,292,283,210,-10.9200000613928,7.25308636948466,9.42596987634897
60,273,256,190,-9.99111118540168,8.58389377593994,10.405925296247
61,256,266,204,-9.16000008583069,8.09100214391947,9.71995650231838
62,277,232,274,-10.1866667382419,9.76683369278908,6.29011253267527
63,280,229,224,-10.3333334028721,9.91470118239522,8.74000108242035
64,280,214,255,-10.3333334028721,10.6540386304259,7.2210701815784
65,259,235,236,-9.30666675046086,9.61896620318294,8.15202783048153
67,229,228,234,-7.84000010415912,9.96399034559727,8.25002337247133
70,149,284,377,-3.92888904735446,7.20379720628262,1.2433421202004
71,283,373,229,-10.4800000675023,2.8170616813004,8.49501222744584
72,234,242,210,-8.08444454520941,9.2739420607686,9.42596987634897
73,232,188,240,-7.98666676878929,11.9355568736792,7.95603674650192
75,220,230,275,-7.40000011026859,9.86541201919317,6.24111476168036
76,182,411,81,-5.54222235828638,0.944073479622602,15.7466823346913
79,150,429,74,-3.97777793556452,0.05686854198575,16.0896667316556
81,258,341,168,-9.25777786225081,4.39431490376592,11.4838762581348
83,178,184,247,-5.34666680544615,12.1327135264874,7.61305234953761
84,203,179,242,-6.5688890106976,12.3791593424976,7.85804120451212
85,220,421,107,-7.40000011026859,0.451181847602129,14.4727402888238
87,154,344,67,-4.17333348840475,4.24644741415978,16.4326511286199
88,86,386,43,-0.848889090120792,2.17630255967379,17.6085976324976
89,225,301,105,-7.64444455131888,6.36588143184781,14.5707358308136
90,210,340,103,-6.91111122816801,4.44360406696796,14.6687313728035
91,208,383,97,-6.81333345174789,2.32417004927993,14.9627179987729
92,93,423,98,-1.1911113075912,0.352603521198034,14.913720227778
93,266,329,245,-9.64888896793127,4.98578486219049,7.71104789152741
96,248,220,263,-8.76888898015022,10.3583036512136,6.82908801361918
